Timestamp, Schematic, Workspace, Bitblox #, FGU #, Connection #, Uniqueness clauses, Uniqueness time, Collision clauses, Collision time, Short clauses, Short time, Connection clauses, Connection time, Fixed Bitblox, MemError, SAT time (TO=240), SAT,
2/2/2015 18:23, Random-12, 9-9-3,16,168,12,7550496,8.595000029,2747360,16.92500114,4032064,24.61499882,269388,0.901000023,0, ,,,
2/2/2015 18:26, Random-8, 9-9-3,11,128,8,5190966,6.325999975,1390880,9.076999426,1769728,11.18200064,257544,0.996999979,0,0,3.23300004,1,
2/2/2015 18:30, Random-8, 9-9-3,9,112,8,4247154,5.003999949,1084000,6.915000439,1053056,6.770999432,246536,2.013999939,0,0,36.46800017,1, 
2/2/2015 18:57, Random-8, 9-9-3,12,136,8,5662872,6.369999886,1626752,9.881999254,2362048,14.13000083,163688,0.657999992,0,0,53.10500002,0, 
2/2/2015 18:58, Random-8, 9-9-3,13,144,9,6134778,6.201999903,1880336,11.45099926,2709712,16.08600092,229225,1.003000021,0,0, ,,
2/2/2015 19:02, Random-8, 9-9-3,13,184,8,6134778,6.667000055,2379664,16.55200076,2471152,17.82599926,284552,1.375999928,0,0,16.91199994,1, 
2/2/2015 19:04, Random-8, 9-9-3,11,128,8,5190966,6.154000044,1240560,8.375001192,1827488,12.0869987,313896,1.258000135,0,0,3.290999889,1, 
2/2/2015 19:05, Random-8, 9-9-3,11,128,8,5190966,6.161000013,1531408,9.998000383,1501712,10.34199977,227912,0.751999855,0,0, ,,
2/2/2015 19:07, Random-8, 9-9-3,10,120,8,4719060,5.22300005,1172720,7.39800024,1508368,9.355999708,176072,0.601000071,0,0, ,,
2/2/2015 19:11, Random-8, 9-9-3,13,144,8,6134778,6.711999893,2049664,12.54800057,2305776,14.28599906,240456,0.831999779,0,0,54.19799995,1, 
2/2/2015 19:13, Random-8, 9-9-3,11,128,8,5190966,6.153000116,1531408,9.699999332,1775648,11.57500052,170888,0.582000017,0,0,96.4849999,1, 
2/2/2015 19:15, Random-8, 9-9-3,11,168,8,5190966,6.180999994,1661280,11.92299891,1982560,14.348001,302280,1.230999947,0,0,72.72600007,1, 
2/2/2015 19:17, Random-8, 9-9-3,10,160,8,4719060,5.237000227,1274240,10.0079999,1730976,13.27200007,326728,1.412999868,0,0, ,,
2/2/2015 19:21, Random-8, 9-9-3,12,136,8,5662872,6.414000034,1626752,10.72600007,1959904,13.29900002,262280,0.899999857,0,0,141.6129999,1, 
2/2/2015 19:24, Random-8, 9-9-3,11,128,8,5190966,6.159000158,1390880,8.170000553,1702624,9.883999348,216200,0.701999903,0,0, ,,
2/2/2015 19:28, Random-8, 9-9-3,12,176,8,5662872,6.438999891,2085040,15.45799947,2205504,16.92100072,306280,2.989000082,0,0, ,,
2/2/2015 19:32, Random-8, 9-9-3,12,176,8,5662872,6.427000046,1923792,13.31900144,2175264,15.29399848,331080,1.53399992,0,0,29.75900006,1, 
2/2/2015 19:33, Random-8, 9-9-3,13,144,8,6134778,6.680000067,1880336,12.24799991,2362288,15.37900019,313992,1.119999886,0,0,26.6099999,1, 
2/2/2015 19:34, Random-8, 9-9-3,12,136,8,5662872,6.420000076,1626752,10.05499935,2224624,13.52400064,234408,1.006999969,0,0,39.17600012,1, 
2/2/2015 19:35, Random-8, 9-9-3,11,128,8,5190966,6.204999924,1240560,8.483999491,1789264,12.13900065,284456,0.982000113,0,0,202.994,1, 
2/2/2015 19:39, Random-8, 9-9-3,12,136,8,5662872,6.444000006,1462032,9.315000534,2318672,14.35099936,197672,0.763999939,0,0,67.85700011,1, 
2/2/2015 19:41, Random-8, 9-9-3,13,184,8,6134778,6.697000027,2204016,15.08000016,2729984,18.65999985,250760,0.980000019,0,0,23.16100001,1, 
2/2/2015 19:43, Random-8, 9-9-3,12,136,8,5662872,6.421000004,1781680,10.37399983,1964368,11.3210001,243048,0.844000101,0,0, ,,
2/2/2015 19:47, Random-8, 9-9-3,14,152,8,6606684,7.763999939,2151632,13.80199957,3051712,19.41100049,255176,1.029999971,0,0,7.846999884,1, 
2/2/2015 19:48, Random-8, 9-9-3,11,168,8,5190966,6.15899992,1504640,11.68299961,2042128,15.69100046,306152,1.303000212,0,0,72.14399982,1, 
2/2/2015 19:49, Random-8, 9-9-3,14,192,8,6606684,7.756999969,2501952,17.54599881,3191280,21.18100119,317096,2.271999836,0,0,74.5,1, 
2/2/2015 19:52, Random-8, 9-9-3,10,80,8,4719060,5.252000093,1046448,5.462998867,1224576,6.401001215,159848,0.492000103,0,0, ,,
2/2/2015 19:56, Random-8, 9-9-3,11,88,8,5190966,6.157999992,1118160,5.907001734,1605168,8.467998028,182888,0.569000006,0,0,2.888999939,1, 
2/2/2015 19:56, Random-8, 9-9-3,11,128,8,5190966,6.167999983,1390880,8.95099926,1866624,12.01500058,190472,0.651000023,0,0,7.697999954,1, 
2/2/2015 19:57, Random-8, 9-9-3,10,160,8,4719060,5.263000011,1274240,10.54900026,1431568,12.66799951,388968,1.729000092,0,0, ,,
2/2/2015 20:01, Random-8, 9-9-3,11,88,8,5190966,6.172999859,1118160,5.928000212,1513728,8.018999815,168776,0.523999929,0,0,129.7459998,0, 
2/2/2015 20:03, Random-8, 9-9-3,12,96,9,5662872,5.407000065,1327392,7.167999029,1787328,9.64000082,216009,0.674999952,0,0, ,,
2/2/2015 20:05, Random-8, 9-9-3,13,184,8,6134778,6.683000088,2379664,17.1469996,2548544,19.21800041,300264,1.328999996,0,0,10.75600004,1, 
2/2/2015 20:06, Random-8, 9-9-3,11,128,8,5190966,6.157000065,1390880,8.923999786,1726832,11.23600006,255560,0.943000078,0,0,20.03900003,1, 
2/2/2015 20:07, Random-8, 9-9-3,14,192,8,6606684,7.804000139,2692000,19.76400042,2837024,22.12799931,306152,1.309000015,0,0,16.49600005,1, 
2/2/2015 20:08, Random-8, 9-9-3,10,120,8,4719060,5.231999874,1036800,7.244000673,1535040,10.42299938,237224,0.94900012,0,0,147.5910001,1, 
2/2/2015 20:11, Random-8, 9-9-3,10,80,8,4719060,5.289000034,926640,4.872998238,1220400,6.386001825,208232,0.657000065,0,0,17.42800021,1, 
2/2/2015 20:12, Random-8, 9-9-3,10,160,8,4719060,5.259000063,1416480,10.06799936,1499136,10.95000052,298888,1.481999874,0,0, ,,
2/2/2015 20:16, Random-8, 9-9-3,12,176,8,5662872,6.447999954,1752752,12.99499869,2712288,18.40600109,265672,3.582000017,0,0,15.17799997,1, 
2/2/2015 20:17, Random-8, 9-9-3,11,128,8,5190966,6.177000046,1531408,8.967000008,1451824,8.514999866,327688,1.397000074,0,0,17.32200003,1, 
2/2/2015 20:18, Random-8, 9-9-3,13,184,8,6134778,6.68599987,2379664,16.26700115,2715360,19.21299911,229736,0.993999958,0,0,57.05599999,1, 
2/2/2015 20:20, Random-8, 9-9-3,13,184,8,6134778,6.673000097,2379664,15.93900013,2479536,17.03799987,324936,1.464999914,0,0, ,,
2/2/2015 20:24, Random-8, 9-9-3,12,136,8,5662872,6.414999962,1781680,11.60499859,2030416,13.34200144,242856,0.90199995,0,0, ,,
2/2/2015 20:28, Random-8, 9-9-3,12,176,8,5662872,6.444999933,2085040,15.48100019,1982144,14.86399984,329768,2.50999999,0,0,34.89300013,1, 
2/2/2015 20:29, Random-8, 9-9-3,10,120,8,4719060,5.252999783,1172720,7.978000164,1572336,10.78699994,193064,0.65199995,0,0, ,,
2/2/2015 20:33, Random-8, 9-9-3,12,176,8,5662872,6.446000099,1923792,13.3700006,2296112,16.00599933,265064,2.562000036,0,0,57.77699995,1, 
2/2/2015 20:35, Random-8, 9-9-3,13,104,8,6134778,6.709000111,1717344,9.050001383,2256048,11.85499859,135944,1.792999983,0,0,3.996999979,1, 
2/2/2015 20:36, Random-8, 9-9-3,9,112,8,4247154,4.976000071,1084000,6.896999598,1069744,7.18500042,218216,1.653999805,0,0,7.637999773,1, 
2/2/2015 20:36, Random-8, 9-9-3,12,176,8,5662872,6.453999996,2085040,14.90300083,2000832,15.30699921,292392,1.231999874,0,0,90.1420002,1, 
2/2/2015 20:38, Random-8, 9-9-3,12,136,8,5662872,6.424000025,1462032,9.726000786,2227264,14.58699942,277160,0.914000034,0,0,122.118,1, 
2/2/2015 20:41, Random-8, 9-9-3,13,144,8,6134778,6.694000006,2049664,12.14400077,2522544,15.04899907,184424,0.625999928,0,0,33.5,1, 
2/2/2015 20:42, Random-8, 9-9-3,12,136,8,5662872,6.447000027,1626752,9.697999239,2114864,12.51000047,218696,0.730000019,0,0,18.41000009,1, 
2/2/2015 20:43, Random-8, 9-9-3,11,168,8,5190966,6.164000034,1661280,12.07100034,1888064,14.12399936,295688,1.024999857,0,0, ,,
2/2/2015 20:47, Random-8, 9-9-3,11,128,8,5190966,6.144000053,1531408,9.11199975,1696656,10.06000018,213224,0.832000017,0,0,7.952000141,1, 
2/2/2015 20:48, Random-8, 9-9-3,11,128,8,5190966,6.200000048,1390880,8.263999939,1850992,10.88499999,182792,0.644000053,0,0, ,,
2/2/2015 20:52, Random-8, 9-9-3,13,144,8,6134778,6.70600009,2049664,12.70300055,2334320,14.70199919,183368,0.595000029,0,0,16.39499998,1, 
2/2/2015 20:53, Random-8, 9-9-3,11,168,8,5190966,6.222000122,1808128,12.20699978,1803776,12.57400012,337512,1.761999846,0,0,48.67700005,1, 
2/2/2015 20:55, Random-8, 9-9-3,11,168,8,5190966,6.200000048,1504640,12.1149981,2133344,17.12100196,283848,1.053999901,0,0, ,,
2/2/2015 20:59, Random-8, 9-9-3,12,96,8,5662872,6.437999964,1476000,7.765000105,1892016,9.950999975,137096,0.424000025,0,0,6.305000067,1, 
2/2/2015 20:59, Random-8, 9-9-3,9,152,8,4247154,4.981999874,1061552,8.495999575,1532560,12.06700039,266184,0.983999968,0,0, ,,
2/2/2015 21:03, Random-8, 9-9-3,10,160,8,4719060,5.234999895,1416480,10.32200003,1648048,12.41700006,233064,0.93599987,0,0, ,,
2/2/2015 21:07, Random-8, 9-9-3,12,136,8,5662872,6.417000055,1626752,9.706000328,2248528,13.21399975,196392,0.887000084,0,0,7.55700016,1, 
2/2/2015 21:08, Random-8, 9-9-3,11,128,8,5190966,6.19299984,1390880,8.734000444,1843648,11.47699976,236424,1.010999918,0,0,174.777,1, 
2/2/2015 21:11, Random-8, 9-9-3,10,120,8,4719060,5.258000135,1172720,7.141000748,1329200,8.061999321,330280,1.209000111,0,0, ,,
2/2/2015 21:15, Random-8, 9-9-3,12,176,8,5662872,6.438999891,1923792,14.0470016,2353952,17.58799863,257544,2.416999817,0,0, ,,
2/2/2015 21:19, Random-6, 9-9-3,9,152,6,4247154,5.00999999,1061552,8.41600132,1276464,10.32999873,309862,1.394000053,0,0,14.60500002,1, 
2/2/2015 21:20, Random-4, 9-9-3,8,64,4,3775248,4.207999945,596736,3.125999212,676512,3.536000729,110020,0.345999956,0,0,2.700000048,1, 
2/2/2015 21:20, Random-8, 9-9-3,12,176,8,5662872,6.433000088,2085040,14.65399981,2048960,15.23200011,309480,1.542999983,0,0,25.07299995,1, 
2/2/2015 21:22, Random-4, 9-9-3,6,88,4,2831436,3.251000166,398880,2.838999748,489520,3.313000202,187076,0.914999962,0,0,2.082000017,1, 
2/2/2015 21:22, Random-12, 9-9-3,14,192,12,6606684,7.808000088,2501952,18.09499836,3208992,23.62100172,400204,3.323000193,0,0, ,,
2/2/2015 21:26, Random-10, 9-9-3,15,200,10,7078590,8.04399991,3022048,20.42900157,3600352,25.0639987,241066,0.996000051,0, ,,,
2/2/2015 21:27, Random-3, 9-9-3,6,48,3,2831436,3.286000013,337680,1.781000137,411264,2.162999868,58179,0.180999994,0,0,1.29399991,1, 
2/2/2015 21:27, Random-10, 9-9-3,13,184,10,6134778,6.737999916,2204016,15.51199985,2736672,19.3360002,355914,1.508999825,0,0,44.82800007,1, 
2/2/2015 21:29, Random-12, 9-9-3,16,168,12,7550496,8.343999863,2959888,17.71699905,3660016,22.19100118,319020,1.09100008,0, ,,,
2/2/2015 21:30, Random-8, 9-9-3,10,80,8,4719060,5.263999939,926640,4.899000168,1176192,6.205999851,229256,0.717000008,0,0,89.62199998,1, 
2/2/2015 21:32, Random-6, 9-9-3,8,104,6,3775248,4.231000185,682416,4.642999887,1148848,7.478999853,146598,0.536000013,0,0,11.58599997,1, 
2/2/2015 21:32, Random-6, 9-9-3,10,160,6,4719060,5.322000027,1416480,10.3380003,1543152,10.46599984,210854,1.851000071,0,0,33.08000016,1, 
2/2/2015 21:33, Random-11, 9-9-3,14,152,11,6606684,7.813000202,2335360,15.04699826,2527168,16.64200163,411435,1.690000057,0,0, ,,
2/2/2015 21:37, Random-9, 9-9-3,11,128,9,5190966,6.234000206,1390880,8.997000456,1876272,12.10899949,220009,0.969000101,0,0, ,,
2/2/2015 21:41, Random-5, 9-9-3,8,144,5,3775248,4.117999792,866576,7.690999508,1055168,9.511000633,311749,1.737000227,0,0,12.93999982,1, 
2/2/2015 21:42, Random-12, 9-9-3,13,144,12,6134778,6.742000103,1880336,11.78299928,2543328,15.69300079,277452,1.042000055,0,0, ,,
2/2/2015 21:46, Random-7, 9-9-3,10,160,7,4719060,5.590999842,1416480,11.52600074,1616752,12.22499943,342439,2.631999969,0,0,19.13100004,1, 
2/2/2015 21:47, Random-5, 9-9-3,8,104,5,3775248,4.558000088,682416,5.292000532,914288,7.184999466,199973,0.768999815,0,0,7.83100009,1, 
2/2/2015 21:48, Random-6, 9-9-3,10,120,6,4719060,5.790999889,1036800,7.729999542,1422992,10.35600066,275398,1.294000149,0,0,17.48399997,1, 
2/2/2015 21:48, Random-7, 9-9-3,11,168,7,5190966,6.712999821,1504640,11.6850009,2109056,15.93099928,229447,0.90899992,0,0, ,,
2/2/2015 21:52, Random-3, 9-9-3,5,120,3,2359530,2.829999924,458160,4.361000538,297824,3.818999529,143043,0.819000006,0,0,220.6230001,1, 
2/2/2015 21:56, Random-7, 9-9-3,11,128,7,5190966,6.717999935,1390880,9.00900054,1535584,9.942999363,294311,2.292999983,0,0,17.75199986,1, 
2/2/2015 21:57, Random-8, 9-9-3,13,184,8,6134778,7.055000067,2204016,17.06900024,2710528,21.11299968,289672,1.188000202,0, ,,,
2/2/2015 21:58, Random-9, 9-9-3,12,176,9,5662872,7.016000032,1923792,13.42599916,2328944,16.39100099,307561,2.610000134,0,0,14.03600001,1, 
2/2/2015 21:59, Random-7, 9-9-3,9,152,7,4247154,4.984999895,1307440,9.832000256,1139216,7.730999708,351175,2.942000151,0,0,3.384000063,1, 
2/2/2015 22:00, Random-7, 9-9-3,11,128,7,5190966,6.069000006,1390880,8.377999783,1670528,10.07900023,220711,0.757999897,0,0,113.8829999,1, 
2/2/2015 22:02, Random-6, 9-9-3,8,104,6,3775248,4.110999823,789536,5.296000481,911072,6.053999662,190630,0.68900013,0,0,5.734999895,1, 
2/2/2015 22:03, Random-3, 9-9-3,6,48,3,2831436,3.225999832,265680,1.404999971,460512,2.40500021,67395,0.207999945,0,0,1.202000141,1, 
2/2/2015 22:03, Random-12, 9-9-3,16,208,12,7550496,8.093999863,3150960,21.95299935,4270688,29.70700073,411788,1.663000107,0, ,,,
2/2/2015 22:04, Random-8, 9-9-3,13,144,8,6134778,6.473999977,1880336,11.25000095,2528512,14.99499917,258248,1.00999999,0,0,46.76599979,1, 
2/2/2015 22:06, Random-8, 9-9-3,11,128,8,5190966,6,1390880,8.436000824,1863744,11.13299918,196232,0.698000193,0,0, ,,
2/2/2015 22:10, Random-7, 9-9-3,10,120,7,4719060,5.083999872,1172720,7.63100028,1513264,9.926999807,166279,0.664999962,0,0,22.58699989,1, 
2/2/2015 22:10, Random-4, 9-9-3,6,88,4,2831436,3.151000023,477200,3.163000345,505984,3.35199976,102436,0.403999805,0,0,3.095999956,1, 
2/2/2015 22:11, Random-4, 9-9-3,8,64,4,3775248,4.072999954,596736,3.107999802,733680,3.833000183,94180,0.950000048,0,0,2.195999861,1, 
2/2/2015 22:11, Random-8, 9-9-3,11,168,8,5190966,5.940999985,1661280,11.924999,1696640,11.83300114,337544,2.387000084,0,0,20.75499988,1, 
2/2/2015 22:12, Random-3, 9-9-3,5,40,3,2359530,2.575000048,177120,0.937999725,275328,1.436000109,77187,0.235999823,0,0,0.770999908,1, 
2/2/2015 22:12, Random-5, 9-9-3,6,88,5,2831436,3.147000074,477200,3.276000261,269296,2.117999792,292549,1.082000017,0,0, ,,
2/2/2015 22:17, Random-12, 9-9-3,16,168,12,7550496,8.145999908,2959888,17.31100106,3822848,22.19599891,290796,0.953999996,0, ,,,
2/2/2015 22:19, Remote-5, 10-10-2,16,168,15,5113600,5.307999849,1983360,12.4059999,2482400,16.13600039,196175,0.981999874,0,0,3.009000063,1, 
2/2/2015 22:20, Remote-7, 10-10-2,22,216,21,7031200,7.903000116,3704064,23.04900289,4828320,31.03899717,274645,1.349000216,0, ,,,
2/2/2015 22:21, Remote-6, 10-10-2,19,192,18,6072400,6.517999887,2777472,18.80100012,3558720,25.19499993,235410,1.131999969,0,0,141.5420001,1, 
2/2/2015 22:26, Remote-5, 10-10-2,16,168,15,5113600,5.467000008,1983360,12.48900151,2482400,16.1659987,196175,0.993999958,0,0,3.068000078,1, 
2/2/2015 22:27, Remote-4, 10-10-2,13,144,12,4154800,4.828000069,1321728,9.034001112,1599360,11.59499884,156940,0.761000156,0,0,53.83599997,1, 
2/2/2015 22:29, Remote-3, 10-10-2,10,120,9,3196000,3.394000053,792576,6.046999931,909600,7.55099988,117705,0.573999882,0,0,12.37399983,1, 
2/2/2015 22:34, Remote-4, 10-10-2,13,144,12,4154800,4.710000038,1321728,8.872001171,1599360,11.38799882,156940,0.752000093,0,0,45.75600004,1, 
2/2/2015 22:36, Remote-2, 10-10-2,7,96,6,2237200,2.481999874,395904,2.725999832,413120,3.025000334,78470,0.375999928,0,0,34.05699992,1,
2/2/2015 22:47, Filter-1, 3-4-2,2,16,1,9120,0.006000042,1472,0.020999908,1680,0.023999929,1121,0.008000135,0,0,0.00999999,1, 
2/2/2015 22:47, Filter-2, 5-4-2,6,48,6,76320,0.064999819,39360,0.411000967,43680,0.46799922,16966,0.100999832,0,0, ,,
2/2/2015 22:49, Filter-1, 3-4-2,2,16,1,9120,0.005000114,1472,0.020999908,1680,0.025000095,1121,0.009000063,0,0,0.00999999,1, 
2/2/2015 22:49, Filter-1, 3-4-2,2,16,1,9120,0.006000042,1472,0.020999908,1680,0.025000095,1121,0.009000063,0,0,0.00999999,1, 
2/2/2015 22:50, Filter-2, 5-4-2,7,56,7,89040,0.068000078,55104,0.543000221,59696,0.689999819,21543,0.177000046,0,0, ,,
2/2/2015 22:55, Filter-2, 4-4-2,8,64,8,65024,0.056999922,57344,0.668000221,60928,0.767999887,21512,0.147000074,0,0,0.194000006,1, 
2/2/2015 22:55, Filter-1, 2-4-2,3,24,2,6048,0.004000187,2688,0.054999828,2784,0.062000036,1858,0.021000147,0,0,0.010999918,1, 
2/2/2015 22:56, Filter-3, 6-4-2,13,104,14,238368,0.231999874,249600,2.182999611,274656,2.694000483,60494,0.33100009,0,0, ,,
2/2/2015 22:57, Filter-2, 4-4-2,8,64,8,65024,0.056999922,57344,0.649000883,60928,0.757999182,21512,0.150000095,0,0,0.194000006,1, 
2/2/2015 23:00, Filter-3, 6-4-2,13,104,14,238368,0.230000019,249600,2.193999529,274656,2.708000422,60494,0.327000141,0,0,143.3670001,1, 
2/2/2015 23:04, Filter-4, 8-4-2,18,144,20,587520,0.615999937,665856,5.116998672,745728,6.346001387,118804,0.867000103,0,0,,1, 
2/2/2015 23:13, Filter-5, 10-4-2,23,184,26,1173920,1.312000036,1392512,9.936001301,1575904,12.31999874,196442,0.871999979,0,0,,1, 
2/2/2015 23:26, Filter-5, 10-4-3,23,184,26,2644080,3.160999775,2088768,13.30700111,3151808,19.85899925,392858,2.56400013,0,0, ,,
2/2/2015 23:54, Filter-6, 12-4-2,28,224,32,2059008,2.226999998,2515968,16.82300019,2866944,20.44699979,293408,1.175000191,0,0, ,,
2/3/2015 0:10, Random-9, 9-9-3,10,120,9,4719060,5.360999823,1298848,8.477000952,1230576,8.436999083,225897,0.844000101,0,0, ,,
2/3/2015 0:14, Random-10, 10-10-3,12,136,10,8632800,10.17499995,2063040,11.75299835,2715968,15.40500164,329994,1.05099988,0,0, ,,
2/3/2015 0:18, Random-8, 8-8-3,13,184,8,3828864,4.695999861,1658624,13.88800025,1993024,17.01099992,265992,1.294999838,0,0,20.74500012,1, 
2/3/2015 0:19, Random-7, 7-7-3,9,112,7,1553202,1.958999872,538032,4.035000563,641824,4.774999619,94375,0.434000015,0,0,18.34099984,1, 
2/3/2015 0:19, Random-5, 5-5-3,6,88,5,269100,0.256999969,107792,1.961000443,102624,2.03099966,41413,0.394999981,0,0,18.89700007,1, 
2/3/2015 0:20, Random-7, 7-7-3,10,120,7,1725780,2.200999975,651952,5.322001696,819408,6.716998339,114791,1.029000044,0,0,27.63200021,0, 
2/3/2015 0:20, Random-7, 7-7-3,11,128,8,1898358,1.909999847,776288,6.275998592,976480,7.941001415,142568,0.627000093,0,0,31.64400005,0, 
2/3/2015 0:21, Random-7, 7-7-3,12,136,9,2070936,2.13499999,911040,7.160999537,1147440,9.088000536,170345,0.710000038,0,0,37.74099994,0, 
2/3/2015 0:22, Random-5, 5-5-3,9,112,5,403650,0.493000031,263008,4.053999901,266624,4.31400013,33893,0.301000118,0,0,0.819000006,1, 
2/3/2015 0:23, Random-5, 5-5-3,7,56,5,313950,0.488000154,130800,1.149000168,157360,1.360999823,31205,0.26699996,0,0,25.89100003,0, 
2/3/2015 0:23, Random-5, 5-5-3,8,64,6,358800,0.379999876,170240,1.271999359,205600,1.525000811,42886,0.328000069,0,0, ,,
2/3/2015 0:27, Random-9, 9-9-3,12,96,9,5662872,6.63499999,1327392,7.339999437,1970640,10.88800073,155241,0.505000114,0,0,11.96099997,1, 
2/3/2015 0:27, Random-4, 4-4-3,7,56,4,128352,0.127000093,64512,0.594000101,125312,1.073999882,13572,0.068000078,0,0,0.179000139,1, 
2/3/2015 0:27, Random-10, 10-10-3,12,136,10,8632800,10.30299997,2257472,13.42199969,2501376,15.15500045,303754,0.996000051,0,0, ,,
2/3/2015 1:14, Random-9, 9-9-3,9,152,9,4247154,4.951000214,1189392,8.852998972,1077824,8.237000942,498409,1.88499999,0,0, ,,
2/3/2015 1:18, Random-8, 8-8-3,12,136,8,3534336,4.064999819,1115136,8.042999268,1813056,12.31300092,209032,1.872999907,0,0,4.921999931,1, 
2/3/2015 1:19, Random-5, 5-5-3,9,72,5,403650,0.437999964,214720,1.48300004,299360,2.030999899,28165,0.110999823,0,0,0.569000006,1, 
2/3/2015 1:19, Random-5, 5-5-3,8,64,5,358800,0.350000143,170240,1.168999195,208080,1.422000647,37925,0.148000002,0,0,8.463999987,1, 
